Title,Summary,Link,Time,Section,Subsection,Category
Calls for justice at funeral for Florida man killed by officer,"Mourners call for justice at the funeral of Florida musician Corey Jones, who was killed by a plainclothes police officer after his car broke down early one morning.",https://www.nytimes.com/video/multimedia/100000004011626/calls-for-justice-at-funeral-for-florida-man-killed-by-officer.html,2015-10-31T23:13:28+0000,Multimedia/Photos,Multimedia/Photos,Florida Man
Who Will Get Charles Mansonâ€™s Body? A Legal Battle Is Underway,"There are multiple claims for the notorious killerâ€™s remains, his property or both. A California court will soon take up the matter.",https://www.nytimes.com/2018/01/04/us/charles-manson-body.html,2018-01-04T17:29:33+0000,U.S.,U.S.,Florida Man
Checking Facts and Falsehoods About Gun Violence and Mental Illness After Parkland Shooting,"Paul Ryan, Bernie Sanders and others stated facts and falsehoods in the wake of the Parkland Shooting. ",https://www.nytimes.com/2018/02/16/us/politics/fact-check-parkland-gun-violence-mental-illness.html,2018-02-16T20:46:48+0000,U.S.,U.S.,Florida Man
â€˜How Can We Combat What We Donâ€™t Understand?â€™,"Our Top 10 Comments of the Week: Readers debate the Manchester bombing, planning your own wake and the first female infantrymen in the United States.",https://www.nytimes.com/2017/05/27/insider/how-can-we-combat-what-we-dont-understand.html,2017-05-27T09:00:11+0000,Times Insider,Times Insider,Florida Man
"Serving Extra Years in Prison, and the Courthouse Doors Are Closed","The Trump administration has said some inmates cannot challenge their unlawfully long prison sentences, reversing a long-held Justice Department position.",https://www.nytimes.com/2017/11/20/us/politics/trump-justice-department-prison-sentences.html,2017-11-20T10:00:20+0000,U.S.,U.S.,Florida Man
Drive-In Jesus,"In Florida, going to church without leaving your car.",https://www.nytimes.com/2017/08/01/opinion/drive-in-church-florida.html,2017-08-01T19:12:32+0000,Opinion,Opinion,Florida Man
Mushrooms on Toast!,"David Tanis has a new recipe for the dish, great for these cooling nights and sunny days, and Kim Severson has a beautiful reflection on ham and lamb.",https://www.nytimes.com/2017/04/12/dining/mushrooms-on-toast-newsletter.html,2017-04-12T15:10:02+0000,Food,Food,Florida Man
â€˜Atlantaâ€™ Season 2 Premiere: Itâ€™s Robbinâ€™ Season,"While the city braces for a surge in random violence, Earn comes face-to-face with a future version of himself.",https://www.nytimes.com/2018/03/01/arts/television/atlanta-season-2-premiere-recap.html,2018-03-02T03:31:30+0000,Arts,Arts,Florida Man
Jimmy Buffett and â€˜MAGAâ€™ Hats: Scenes From the U.S. Just Before a Tight Election,Updates from around the country as candidates make their final pitches to the voters who will help reshape America for the next two years.,https://www.nytimes.com/2018/11/03/us/politics/midterm-elections.html,2018-11-03T14:05:03+0000,U.S.,U.S.,Florida Man
Florida man to appear in court after U.S. Capitol gyrocopter landing,A Florida man who was arrested after landing a small helicopter on the west lawn of the U.S. Capitol is due to appear in Federal court. Linda So reports.,https://www.nytimes.com/video/multimedia/100000003632137/florida-man-to-appear-in-court-after-us-capitol-gyrocopter-landi.html,2015-04-16T13:10:25+0000,Multimedia/Photos,Multimedia/Photos,Florida Man
Cheaper Health Plans Promoted by Trump Have a History of Fraud,Records reveal that fraud and abuse in small-business health plans have left employers and employees with hundreds of millions of dollars in unpaid medical bills.,https://www.nytimes.com/2017/10/21/us/politics/trump-association-health-plans-fraud.html,2017-10-21T15:44:18+0000,U.S.,U.S.,Florida Man
30-Year Sentence for Man Who Burned Florida Mosque Attended by Omar Mateen,"Joseph Schreiber told detectives that he set fire to the Islamic Center of Fort Pierce, where the Pulse nightclub gunman had prayed.",https://www.nytimes.com/2017/02/07/us/mosque-fire-florida.html,2017-02-07T16:27:57+0000,U.S.,U.S.,Florida Man
Trump Administration Spares Corporate Wrongdoers Billions in Penalties,Punishment of banks and big companies accused of malfeasance has declined precipitously since the Obama era.,https://www.nytimes.com/2018/11/03/us/trump-sec-doj-corporate-penalties.html,2018-11-03T19:02:56+0000,U.S.,U.S.,Florida Man
Lawyers Provide Details in Police Shooting of Corey Jones in Florida,"Corey Jones was stranded on the side of a highway when he was shot dead by the plainclothes officer, Nouman K. Raja.",https://www.nytimes.com/2015/10/23/us/florida-corey-jones-police-shooting.html,2015-10-22T19:29:14+0000,U.S.,U.S.,Florida Man
Scenes From Mar-a-Lago as Trump and Abe Get News About North Korea,"Photographs posted on Facebook show the prime minister of Japan, Shinzo Abe, and the president of the United States as they scrambled to respond to a North Korean ballistic missile test.",https://www.nytimes.com/2017/02/13/us/politics/donald-trump-administration.html,2017-02-13T10:00:04+0000,U.S.,U.S.,Florida Man
The Same Agency That Runs Obamacare Is Using Taxpayer Money to Undermine It,Three ways the Department of Health and Human Services has campaigned against the current health law.,https://www.nytimes.com/interactive/2017/09/04/us/hhs-anti-obamacare-campaign.html,2017-09-04T09:00:01+0000,U.S.,U.S.,Florida Man
Senator Calls for Inquiry Into â€˜Surpriseâ€™ Medical Bills,"Reacting to reports of cases where insurance covers an E.R. visit but not the doctor, resulting in big bills for patients.",https://www.nytimes.com/2016/12/03/upshot/senator-takes-up-issue-of-unexpected-medical-bills.html,2016-12-03T12:00:04+0000,The Upshot,The Upshot,Florida Man
Sent to Prison by a Software Programâ€™s Secret Algorithms,"Using artificial intelligence in judicial decisions sounds like science fiction, but itâ€™s already happened in Wisconsin.",https://www.nytimes.com/2017/05/01/us/politics/sent-to-prison-by-a-software-programs-secret-algorithms.html,2017-05-01T09:00:25+0000,U.S.,U.S.,Florida Man
Florida Man Is Convicted of Murdering Teenager in Dispute Over Loud Music,Michael Dunn was convicted of first-degree murder in the shooting of an unarmed black teenager after a confrontation over rap music blaring from a car.,https://www.nytimes.com/2014/10/02/us/verdict-reached-in-death-of-florida-youth-in-loud-music-dispute.html,2014-10-01T19:49:44+0000,U.S.,U.S.,Florida Man
