,Title,Summary,Link,Time,Section,Subsection,Category
497,"SLAIN IN HOBO CAMP ROW.; California Man Stabbed to Death, Another Wounded -- 12 Seized.","Kennedy, J S, killed in fight between Negroes and whites at hobo camp",https://www.nytimes.com/1932/08/23/archives/slain-in-hobo-camp-row-california-man-stabbed-to-death-another.html,1932-08-23T05:00:00+0000,Archives,Archives,California Man
498,"ABANDONS CHANNEL SWIM.; Zibelmann, Legless California Man, Gives Up 12 Miles Off Dover.",abandons attempt 12 miles off Dover,https://www.nytimes.com/1932/09/11/archives/abandons-channel-swim-zibelmann-legless-california-man-gives-up-12.html,1932-09-11T05:00:00+0000,Archives,Archives,California Man
499,TOBIN SUPPORTS TUBES IN SENATORIAL BATTLE; Former Minister to Netherlands Favors California Man's Wet Platform.,Will support T Tubbs for Repub nomination for Sen from Cal,https://www.nytimes.com/1932/07/17/archives/tobin-supports-tubes-in-senatorial-battle-former-minister-to.html,1932-07-17T05:00:00+0000,Archives,Archives,California Man
500,SEIZED AS FUGITIVE ON PIER.; California Man Arrested as He Leaves Aquitania With Bride. ,,https://www.nytimes.com/1930/04/13/archives/seized-as-fugitive-on-pier-california-man-arrested-as-he-leaves.html,1930-04-13T05:00:00+0000,Archives,Archives,California Man
501,"TW0 PAY $176,903 CUSTOMS PENALTY; Mrs. Storrs Gives Check for $103,917 for Undeclared Gems and Clothing. CALIFORNIA MAN $72,986 L.A. Schwabacher of San Francisco Had Fought Case Growing Out of Arrival on Oct. 22.","Mrs F V Storrs pays $103,817, highest amt paid since 1924; L A Schwabacher pays $72,986",https://www.nytimes.com/1930/01/29/archives/tw0-pay-176903-customs-penalty-mrs-storrs-gives-check-for-103917.html,1930-01-29T05:00:00+0000,Archives,Archives,California Man
502,California Man Has a Talk With Macmillan in the Arctic,"Radio communication with D C Wallace, Cal amateur",https://www.nytimes.com/1927/10/06/archives/california-man-has-a-talk-with-macmillan-in-the-arctic.html,1927-10-06T05:00:00+0000,Archives,Archives,California Man
503,FINDS IN CALIFORNIA MAN LOST IN ALASKA; Yonkers Woman Discovers Brother Believed Killed in Snowslide Many Years Ago.,"Found in San Francisco by sister, Mrs L Sutherland, who had believed him lost in Alaska snowslide",https://www.nytimes.com/1926/11/24/archives/finds-in-california-man-lost-in-alaska-yonkers-woman-discovers.html,1926-11-24T05:00:00+0000,Archives,Archives,California Man
504,CITIZENSHIP STUDENT ARRESTED AT HIS STILL; Sheriff Disturbs California Man Reading Up Americanization as the Mash Boils.,"Weiner, L, arrested",https://www.nytimes.com/1925/04/12/archives/citizenship-student-arrested-at-his-still-sheriff-disturbs.html,1925-04-12T05:00:00+0000,Archives,Archives,California Man
505,"HUNT PRESIDENTIAL TIMBER IN WEST; Hiram Johnson Now Groomed for Race in 1920, Says Meyer Lissner. STANDS NEXT TO COLONEL California Man Sees His Senator as Candidate After Talk with Hays --Roosevelt May Control. ",,https://www.nytimes.com/1918/10/06/archives/hunt-presidential-timber-in-west-hiram-johnson-now-groomed-for-race.html,1918-10-06T05:00:00+0000,Archives,Archives,California Man
506,"LATEST DEALINGS IN THE REALTY FIELD; Sale Pending for Purchase of Electrical Exchange Building on Washington Street.PROPERTY PUT AT $400,000 Investor Buys Bronx ApartmentHouse Held at $65,000--The Suburban Market Active. Quick Profit on Pearl Street Parcel. Water Street Warehouse Site. Resells Three Dwellings. Bronx Apartment Sale. American Chicle Co. Sells Plant. Brooklyn. Buying at Howard Beach. Saered Heart Mission Sisters Buy Estate. Adirondack Estate Sold to California Man. New Jersey.",,https://www.nytimes.com/1918/06/16/archives/latest-dealings-in-the-realty-field-sale-pending-for-purchase-of.html,1918-06-16T05:00:00+0000,Archives,Archives,California Man
507,WRITES PRAISE OF OSBORNE.; California Man Tells Grand Jurors Warden's System Is the Best.,vs. Yale,https://www.nytimes.com/1915/12/24/archives/writes-praise-of-osborne-california-man-tells-grand-jurors-wardens.html,1915-12-24T05:00:00+0000,Archives,Archives,California Man
508,MRS. DIGGS HEARS THE 'OTHER WOMAN'; Wife of Convicted California Man Faces Marsha Warrington at Caminetti Trial.,testimony of Marsha Warrington,https://www.nytimes.com/1913/08/29/archives/mrs-diggs-hears-the-other-woman-wife-of-convicted-california-man.html,1913-08-29T05:00:00+0000,Archives,Archives,California Man
509,BURIED THE WRONG CORPSE.; California Man Thinks It Was Not His Son Interred.,,https://www.nytimes.com/1899/07/23/archives/buried-the-wrong-corpse-california-man-thinks-it-was-not-his-son.html,1899-07-23T05:00:00+0000,Archives,Archives,California Man
