Title,Summary,Link,Time,Section,Subsection,Category
Supreme Court Rules Against Freezing Assets Not Tied to Crimes,"The government may not freeze assets needed to pay criminal defense lawyers if the assets are not linked to a crime, the court ruled in a 5-to-3 decision.",https://www.nytimes.com/2016/03/31/us/politics/supreme-court-rules-against-freezing-assets-not-tied-to-crimes.html,2016-03-30T18:03:37+0000,U.S.,U.S.,Florida Woman
Should Statutes of Limitations for Rape Be Abolished?,"Across the country, time-limiting laws prevent scores of sexual assault cases from being prosecuted, in spite of persuasive evidence or a confession.",https://www.nytimes.com/2018/06/19/magazine/should-statutes-of-limitations-for-rape-be-abolished.html,2018-06-19T09:00:10+0000,Magazine,Magazine,Florida Woman
Florida: Woman Drives Van With Children Into Ocean,The authorities in Daytona Beach are investigating an episode in which a pregnant woman drove her minivan into the Atlantic Ocean with her three children strapped in the back seat.,https://www.nytimes.com/2014/03/06/us/florida-woman-drives-van-with-children-into-ocean.html,2014-03-06T01:28:42+0000,U.S.,U.S.,Florida Woman
"Your Thursday Evening Briefing:Â Alan Rickman, Jakarta, Academy Awards",Hereâ€™s what you need to know at the end of the day.,https://www.nytimes.com/2016/01/14/nytnow/your-thursday-evening-briefing-alan-rickman-jakarta-academy-awards.html,2016-01-14T23:04:17+0000,NYT Now,NYT Now,Florida Woman
"Brooklyn Man Fatally Stabbed Girlfriend as Police Were on Their Way, Officials Say","The police said officers found a chilling scene as the suspect, who is facing attempted murder charges in another case, tried to flee wearing blood-soaked clothes and plastic bags on his hands.",https://www.nytimes.com/2015/12/07/nyregion/married-brooklyn-man-accused-of-fatally-stabbing-girlfriend.html,2015-12-06T18:13:43+0000,New York,New York,Florida Woman
@_FloridaMan Beguiles With the Hapless and Harebrained,"A beguilingly anonymous Twitter author with the mug shot of an Indiana man unspools, tweet by tweet, a composite of Floridaâ€™s nuttiness.",https://www.nytimes.com/2015/05/11/us/both-hapless-and-harebrained-florida-man-enlivens-internet.html,2015-05-11T02:02:37+0000,U.S.,U.S.,Florida Woman
"Review: MTVâ€™s â€˜One Bad Choice,â€™ Cautionary Tales of Growing Up","This well-intentioned new show presents real-life accounts of young people who, as the title says, made a bad decision and faced life-changing repercussions.",https://www.nytimes.com/2015/07/09/arts/television/review-mtvs-one-bad-choice-cautionary-tales-of-growing-up.html,2015-07-08T20:26:07+0000,Arts,Arts,Florida Woman
Takata Emails Show Brash Exchanges About Data Tampering,"The documents, unsealed as part of a lawsuit, show discussions about dressing up data at the airbag supplier, which is under fire for defective devices.",https://www.nytimes.com/2016/01/05/business/takata-emails-show-brash-exchanges-about-data-tampering.html,2016-01-04T10:19:32+0000,Business Day,Business Day,Florida Woman
Jeb Bushâ€™s Emails as Governor Show His Feelings on Same-Sex Marriage,An email exchange gives insight into Jeb Bushâ€™s thinking about same-sex marriage during his time as governor of Florida.,https://www.nytimes.com/politics/first-draft/2015/08/25/jeb-bush-email-provide-window-into-his-feelings-on-same-sex-marriage/,2015-08-26T01:00:36+0000,U.S.,U.S.,Florida Woman
Justice Dept. Presses Civil Rights Agenda in Local Courts,"The government has waded into cases involving legal aid, transgender students, juvenile prisoners and people who take videos of police officers.",https://www.nytimes.com/2015/08/20/us/justice-dept-presses-civil-rights-agenda-in-local-courts.html,2015-08-19T21:07:19+0000,U.S.,U.S.,Florida Woman
"Paula Broadwell, David Petraeus and the Afterlife of a Scandal",One has moved on. The other is still wondering how she will.,https://www.nytimes.com/2016/05/29/fashion/david-petraeus-paula-broadwell-scandal-affair.html,2016-05-28T10:00:28+0000,Fashion & Style,Fashion & Style,Florida Woman
Investigation of Honda Centers on Failure to Report Deaths From Takata Airbags,Regulators are studying whether the automaker failed to report deaths and injuries from a defective airbag that can rupture violently.,https://www.nytimes.com/2014/11/04/business/inquiry-of-honda-centers-on-failure-to-report-deaths-from-airbags.html,2014-11-04T01:47:20+0000,Business Day,Business Day,Florida Woman
Kelly Linkâ€™s â€˜Get in Troubleâ€™ and Five Other Works,"Ms. Link, John Boyne, Seth Greenland, Alejandro Zambra, Elisa Albert and Matt Sumell have published new books.",https://www.nytimes.com/2015/02/26/books/kelly-links-get-in-trouble-and-five-other-works.html,2015-02-25T22:33:47+0000,Books,Books,Florida Woman
Today in Small Business: â€˜Weâ€™re the Uber of Whatever!â€™,Google is preparing to take on Apple Pay. How one company pampers its workers. Amazon is likely to top $100 billion in revenue next year â€” but hasnâ€™t made a quarterly profit since 2011.,https://boss.blogs.nytimes.com/2014/10/23/today-in-small-business-were-the-uber-of-whatever/,2014-10-23T18:34:43+0000,Business Day,Business Day,Florida Woman
The Many Faces of Jeb,We like to pigeonhole politicians. The ones who might run for president in 2016 donâ€™t make that easy.,https://www.nytimes.com/2014/12/14/opinion/sunday/frank-bruni-jeb-bush-chris-christie-and-the-2016-presidential-campaign.html,2014-12-13T19:30:08+0000,Opinion,Opinion,Florida Woman
Do Black People Have Equal Gun Rights?,Why African-Americans and the National Rifle Association should be allies.,https://www.nytimes.com/2014/10/26/opinion/sunday/do-black-people-have-equal-gun-rights.html,2014-10-25T18:39:12+0000,Opinion,Opinion,Florida Woman
"In Florida, a Chance for Democrats to Win One Back","The party sees the campaign of Gwen Graham, a daughter of a former Florida senator and governor, as one of its few genuine chances to reclaim a House seat.",https://www.nytimes.com/2014/10/13/us/in-florida-a-chance-for-democrats-to-win-one-back.html,2014-10-13T02:29:03+0000,U.S.,U.S.,Florida Woman
Florida: Woman Charged in Burning of Giant Tree,"A 26-year-old woman was charged Tuesday with setting a small fire in January that burned down a 3,500-year-old towering bald cypress tree known as the Senator.",https://www.nytimes.com/2012/02/29/us/florida-woman-charged-in-burning-of-giant-tree.html,2012-02-29T00:37:22+0000,U.S.,U.S.,Florida Woman
Is That Jesus in Your Toast?,You may be experiencing â€œmoral hunger.â€ù,https://www.nytimes.com/2014/04/06/opinion/sunday/is-that-jesus-in-your-toast.html,2014-04-04T19:09:35+0000,Opinion,Opinion,Florida Woman
Whatâ€™s On Friday,Television highlights.,https://www.nytimes.com/2014/04/18/arts/television/whats-on-friday.html,2014-04-18T05:00:01+0000,Arts,Arts,Florida Woman
"Florida Woman Kills 4 Children and Then Herself, Police Say","Tonya Thomas killed her four children at their home in Port St. John early Tuesday before killing herself, the authorities said.",https://www.nytimes.com/2012/05/16/us/florida-woman-kills-4-children-and-then-herself-police-say.html,2012-05-15T19:19:49+0000,U.S.,U.S.,Florida Woman
A â€˜Powerfulâ€™ Image of Breast Cancer Offends Some Times Readers,"Readers objected for a number of reasons, but an editor defends it as newsworthy and beautiful.",https://publiceditor.blogs.nytimes.com/2013/11/27/a-powerful-image-of-breast-cancer-offends-some-times-readers/,2013-11-27T20:11:34+0000,Opinion,Opinion,Florida Woman
Today in Small Business: Rainbow Loomâ€™s Patent Fight,Rainbow Loom is battling a competitor. Twelve questions to ask yourself before firing an employee. A toilet-fan scam.,https://boss.blogs.nytimes.com/2013/09/13/today-in-small-business-rainbow-looms-patent-fight/,2013-09-13T14:44:42+0000,Business Day,Business Day,Florida Woman
Hiring an End-of-Life Enforcer,"A new type of professional, the health fiduciary, could help older patients with no family or close friends to make medical decisions on their behalf navigate the health care system.",https://newoldage.blogs.nytimes.com/2013/10/24/hiring-an-end-of-life-enforcer/,2013-10-24T16:33:58+0000,Health,Health,Florida Woman
Russian Revelation,"The Moscow designer Vika Gazinskaya is making a name for herself, finding inspiration even in the unexpected.",https://runway.blogs.nytimes.com/2013/05/10/russian-revelation/,2013-05-10T17:39:36+0000,Style,Style,Florida Woman
"The Gun Report: March 13, 2013",A day in the life of armed America.,https://nocera.blogs.nytimes.com/2013/03/13/the-gun-report-march-13-2013/,2013-03-13T13:00:30+0000,Opinion,Opinion,Florida Woman
