Title,Summary,Link,Time,Section,Subsection,Category
Bank Sent Clientsâ€™ Cash to Its Madoff Account,Westport National Bank customers may not qualify for a federal program expected to cushion Madoff investorsâ€™ losses.,https://www.nytimes.com/2009/02/06/business/06westport.html,2009-02-06T02:34:37+0000,Business Day,Business Day,Florida Couple
Bank Sent Clientsâ€™ Cash to Its Madoff Account,,https://dealbook.nytimes.com/2009/02/06/bank-sent-clients-cash-to-its-madoff-account/,2009-02-06T12:22:40+0000,Business Day,Business Day,Florida Couple
"Between Journalists and Ill-Gotten Information, a Shield of Distance","Illegally obtained information may be legal to print, but itâ€™s wise to avoid being the person who obtained it.",https://www.nytimes.com/2009/07/13/business/media/13press.html,2009-07-13T00:29:17+0000,Business Day,Business Day,Florida Couple
Corrections,NATIONAL.,https://www.nytimes.com/2009/07/26/pageoneplus/corrections.html,2009-07-26T00:48:52+0000,Corrections,Corrections,Florida Couple
Florida: Couple Pleads Guilty to Spying for Cuba,"A couple accused of spying for Cuba for more than 25 years pleaded guilty to federal charges after reaching a plea deal. The husband, Carlos Alvarez, a former associate professor of psychology at Florida International University, and his wife, Els...",https://www.nytimes.com/2006/12/20/us/20brfs-spies.html,2006-12-20T05:00:00+0000,U.S.,U.S.,Florida Couple
Florida: Couple Pleads Guilty to Spying for Cuba,"Carlos Alvarez and Elsa Alvarez of Florida, who are accused of spying for Cuba for more than 25 years, plead guilty to federal charges after reaching plea deal (S)",https://www.nytimes.com/2006/12/20/us/florida-couple-pleads-guilty-to-spying-for-cuba.html,2006-12-20T05:00:00+0000,U.S.,U.S.,Florida Couple
Deal Reported in Cuban Custody Battle,A settlement was reached in a court battle between a Cuban farmer and a wealthy Florida couple over his 5-year-old daughter. It gave the farmer sole custody.,https://www.nytimes.com/2007/11/29/us/29custody.html,2007-11-29T05:00:00+0000,U.S.,U.S.,Florida Couple
Trail of Bad Loans Leads to the Couple Next Door,Creative financing led to a string of foreclosures for a Florida couple who had turned speculators.,https://www.nytimes.com/2008/06/06/business/06norris.html,2008-06-06T04:00:00+0000,Business Day,Business Day,Florida Couple
â€˜Good Luck With Thatâ€™,,https://laughlines.blogs.nytimes.com/2008/04/10/good-luck-with-that/,2008-04-10T19:02:41+0000,Week in Review,Week in Review,Florida Couple
National Briefing | South: Florida: Couple Pleads Not Guilty To Spying,"A married couple charged with spying for Cuba for more than 25 years pleaded not guilty before a federal judge in Miami. The husband, Carlos Alvarez, an associate professor of psychology at Florida International University in Miami, and his wife, ...",https://www.nytimes.com/2006/01/20/us/national-briefing-south-florida-couple-pleads-not-guilty-to-spying.html,2006-01-20T05:00:00+0000,U.S.,U.S.,Florida Couple
National Briefing | South: Florida: Couple Charged With Spying For Cuba,"Federal prosecutors have charged a married couple with spying for Cuba for more than 25 years. The couple, Carlos Alvarez, an associate professor at Florida International University in Miami, and Elsa Alvarez, a social worker, are accused of spyin...",https://www.nytimes.com/2006/01/10/us/national-briefing-south-florida-couple-charged-with-spying-for-cuba.html,2006-01-10T05:00:00+0000,U.S.,U.S.,Florida Couple
Comings and Goings,The latest travel news from around the globe.,https://www.nytimes.com/2007/07/29/travel/29comings.html,2007-07-29T04:00:00+0000,Travel,Travel,Florida Couple
"Hey, big spender, flying my way?",,https://www.nytimes.com/2008/07/14/style/14iht-13hitch.14469884.html,2008-07-14T05:00:00+0000,Fashion & Style,Fashion & Style,Florida Couple
