Title,Summary,Link,Time,Section,Subsection,Category
The Full-Body Backlash,"As full-body scanners come into more widespread use in American airports, they are also coming under more frequent criticism.",https://fivethirtyeight.blogs.nytimes.com/2010/11/15/the-full-body-backlash/,2010-11-16T00:32:50+0000,U.S.,U.S.,California Man
Prius Computer Raises Doubts in an Account of a Crash,Regulators and Toyota engineers examining the crash of a Prius in New York saw no evidence that the driver had tried to brake.,https://www.nytimes.com/2010/03/19/business/19toyota.html,2010-03-18T23:35:52+0000,Business Day,Business Day,California Man
Justices to Weigh Law on Gaining Citizenship via Parents ,The Supreme Court agreed to decide if mothers and fathers may be treated differently in determining whether their children may claim American citizenship.,https://www.nytimes.com/2010/03/23/us/23scotus.html,2010-03-23T04:08:01+0000,U.S.,U.S.,California Man
‘That’s Nothing!’,,https://laughlines.blogs.nytimes.com/2009/01/29/thats-nothing/,2009-01-29T13:59:41+0000,Week in Review,Week in Review,California Man
Arsonist Sentenced to Death for Killing 5 Firefighters,Raymond Lee Oyler was convicted of murder and arson for setting a hillside inferno in 2006 that killed five United States Forest Service firefighters,https://www.nytimes.com/2009/06/06/us/06sentence.html,2009-06-05T17:32:10+0000,U.S.,U.S.,California Man
"Octuplets’ Prospects, Perfect Recall and the Unsanitary Peanut Plant",Health news from around the Web.,https://www.nytimes.com/2009/01/28/health/28rounds.html,2009-01-28T15:06:48+0000,Health,Health,California Man
Case Shows Limits of Sex Offender Alert Programs,The case of a registered convict accused of holding a captive for 18 years has renewed debate about whether sex offender lists create a false sense of safety.,https://www.nytimes.com/2009/09/02/us/02offenders.html,2009-09-02T00:55:17+0000,U.S.,U.S.,California Man
Toyota’s Slow Awakening to a Deadly Problem,"A fatal accident in August led Toyota to step up its inquiry of unintended acceleration, yet only last week did it come to terms with the problem’s scope.",https://www.nytimes.com/2010/02/01/business/01toyota.html,2010-02-01T02:37:02+0000,Business Day,Business Day,California Man
Supreme Court Upholds Death Sentence of California Man,Five justices rejected the defendant’s complaints about how the jurors were instructed.,https://www.nytimes.com/2006/11/13/washington/14scotuscnd.html,2006-11-13T05:00:00+0000,Washington,Washington,California Man
Film Series and Movie Listings,MOVIES.,https://www.nytimes.com/2010/01/01/movies/01movies.html,2009-12-31T22:10:18+0000,Movies,Movies,California Man
California man held in anti-terror case is acquitted - Americas - International Herald Tribune,,https://www.nytimes.com/2006/11/19/world/americas/19iht-trial.3590707.html,2006-10-19T05:00:00+0000,World,World,California Man
Film Series and Movie Listings,MOVIES.,https://www.nytimes.com/2010/01/22/movies/22movies.html,2010-01-21T21:32:10+0000,Movies,Movies,California Man
California: Man Accused in Car Rampage Is Ruled Fit to Stand Trial,"A man accused of using his car to mow down 18 people, killing one, during a hit-and-run rampage in August has been deemed competent to stand trial.",https://www.nytimes.com/2006/11/23/us/23brfs-CAR.html,2006-11-23T05:00:00+0000,U.S.,U.S.,California Man
California: Man Accused in Car Rampage Is Ruled Fit to Stand Trial,"Omeed A Popal is deemed competent to stand trial for using his car to hit 18 people, killing one, during August hit-and-run rampage in San Francisco and Fremont, Calif; photo (S)",https://www.nytimes.com/2006/11/23/us/california-man-accused-in-car-rampage-is-ruled-fit-to-stand-trial.html,2006-11-23T05:00:00+0000,U.S.,U.S.,California Man
Court Expands Ability to Sue in Sexual Harassment Investigations,"Employees fired after cooperating in sexual harassment investigations may sue for retaliation, the Supreme Court ruled Monday.",https://www.nytimes.com/2009/01/27/washington/27scotus.html,2009-01-27T01:33:52+0000,Washington,Washington,California Man
Movie Listings,,https://www.nytimes.com/2010/02/05/movies/05movies.html,2010-02-05T00:00:32+0000,Movies,Movies,California Man
Film Series and Movie Listings,MOVIES.,https://www.nytimes.com/2010/01/08/movies/08movies.html,2010-01-08T00:59:03+0000,Movies,Movies,California Man
Film Series and Movie Listings,MOVIES.,https://www.nytimes.com/2010/01/29/movies/29movies.html,2010-01-28T23:26:00+0000,Movies,Movies,California Man
Film Series and Movie Listings,MOVIES.,https://www.nytimes.com/2009/12/25/movies/25movies.html,2009-12-24T17:14:29+0000,Movies,Movies,California Man
Film Series and Movie Listings,MOVIES.,https://www.nytimes.com/2010/01/15/movies/15movies.html,2010-01-14T21:14:28+0000,Movies,Movies,California Man
Film Series and Movie Listings,MOVIES.,https://www.nytimes.com/2009/12/18/movies/18movies.html,2009-12-17T23:15:41+0000,Movies,Movies,California Man
"Herb Score, 75, Indians Pitcher Derailed by Line Drive, Dies",Mr. Score was the Cleveland Indians left-hander who seemed destined for the Hall of Fame only to have his career ruined when a line drive struck him in the face.,https://www.nytimes.com/2008/11/12/sports/baseball/12score.html,2008-11-12T02:21:57+0000,Sports,Sports,California Man
Madoff Will Plead Guilty; Faces Life for Vast Swindle,"Facing life in prison for operating a vast Ponzi scheme, Bernard L. Madoff is expected to plead guilty on Thursday.",https://www.nytimes.com/2009/03/11/business/11madoff.html,2009-03-10T21:00:50+0000,Business Day,Business Day,California Man
National Briefing | West: California: Man In Terror Investigation Is Released,"Umer Hayat, Pakistani-American accused of lying to authorities during terrorism investigation in Central Valley, Calif, is released from prison, after federal judge sentences him to time served, 36 months supervised release and $3,600 fine; his ph...",https://www.nytimes.com/2006/08/26/us/national-briefing-west-california-man-in-terror-investigation-is.html,2006-08-26T05:00:00+0000,U.S.,U.S.,California Man
Overtaxed Landmarks Agency Can Take Years to Act,"Also in Morning Buzz: A new House ethics investigation of Congressman Rangel, the vanishing turkey-giving tradition, and more headlines from papers in the region.",https://cityroom.blogs.nytimes.com/2008/11/26/overtaxed-landmarks-agency-can-take-years-to-act/,2008-11-26T13:55:43+0000,New York,New York,California Man
Have your rooftop solar panels disappeared? Check the Internet,,https://www.nytimes.com/2008/09/24/technology/24iht-solar.1.16437766.html,2008-09-24T05:00:00+0000,Technology,Technology,California Man
Lost your rooftop solar panels? Check the Web,,https://www.nytimes.com/2008/09/25/business/worldbusiness/25iht-24solar.16462591.html,2008-09-25T05:00:00+0000,Business Day,Business Day,California Man
Have your rooftop solar panels disappeared? Check the Internet,,https://www.nytimes.com/2008/09/24/technology/24iht-solar.4.16447029.html,2008-09-24T05:00:00+0000,Technology,Technology,California Man
"Solar Panels Are Vanishing, Only to Reappear on the Internet","Solar power, with its promise of emissions-free renewable energy, boasts a growing number of fans. Some of them, it turns out, are thieves.",https://www.nytimes.com/2008/09/24/technology/24solar.html,2008-09-24T02:41:25+0000,Technology,Technology,California Man
Day Laborer Jobs Dwindle in Shaky Economy,"Also in Morning Buzz: new criticism of the mayor over his term-limits proposal, a shift of political attention to western New York, and more headlines from papers in the region.",https://cityroom.blogs.nytimes.com/2008/10/20/day-laborer-jobs-dwindle-in-shaky-economy/,2008-10-20T12:54:16+0000,New York,New York,California Man
Californian Arrested on Terror Charges,"Rahmat Abdhir was arrested at his workplace in Sunnyvale, Calif., on Thursday on terrorism charges related to the 2002 Bali bombings.",https://www.nytimes.com/2007/08/04/world/asia/04bali.html,2007-08-04T04:00:00+0000,World,World,California Man
